Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,home_elo,away_elo
1734,2001-03-06,Real Madrid,Leeds United,3.0,2.0,H,1725.64,1481.72
1735,2001-03-14,Anderlecht,Real Madrid,2.0,0.0,H,1468.76,1693.72
1736,2001-04-03,Galatasaray,Real Madrid,3.0,2.0,H,1485.96,1663.84
1737,2001-04-18,Real Madrid,Galatasaray,3.0,0.0,H,1672.32,1477.48
1738,2001-05-01,Real Madrid,Bayern Munich,0.0,1.0,A,1649.08,1688.72
1739,2001-05-09,Bayern Munich,Real Madrid,2.0,1.0,H,1703.68,1634.12
1740,2000-09-13,Barcelona,Leeds United,4.0,0.0,H,1710.48,1474.8
1741,2000-09-19,Beşiktaş,Barcelona,3.0,0.0,H,1560.28,1683.48
1742,2000-09-26,Barcelona,Milan,0.0,2.0,A,1656.0,1624.44
1743,2000-10-18,Milan,Barcelona,3.0,3.0,D,1623.36,1657.08
1744,2000-10-24,Leeds United,Barcelona,1.0,1.0,D,1482.08,1649.8
1745,2000-11-08,Barcelona,Beşiktaş,5.0,0.0,H,1662.16,1547.92
1746,1999-09-14,AIK Stockholm,Barcelona,1.0,2.0,A,1454.16,1674.2
1747,1999-09-22,Barcelona,Fiorentina,4.0,2.0,H,1686.2,1564.68
1750,1999-10-27,Barcelona,AIK Stockholm,5.0,0.0,H,1692.8,1447.56
1751,1999-11-02,Fiorentina,Barcelona,3.0,3.0,D,1569.12,1688.36
1752,1999-11-23,Hertha BSC,Barcelona,1.0,1.0,D,1521.08,1681.52
1753,1999-12-08,Barcelona,Sparta Prague,5.0,0.0,H,1686.84,1401.08
1754,2000-03-01,Barcelona,Porto,4.0,2.0,H,1696.08,1518.44
1755,2000-03-07,Porto,Barcelona,0.0,2.0,A,1505.48,1709.04
1756,2000-03-15,Barcelona,Hertha BSC,3.0,1.0,H,1717.16,1512.96
1757,2000-03-21,Sparta Prague,Barcelona,1.0,2.0,A,1393.96,1724.28
1760,2000-05-02,Valencia,Barcelona,4.0,1.0,H,1603.16,1698.88
1761,2000-05-10,Barcelona,Valencia,2.0,1.0,H,1710.96,1591.08
1762,1999-09-15,Olympiacos,Real Madrid,3.0,3.0,D,1504.32,1629.36
1763,1999-09-21,Real Madrid,Molde,4.0,1.0,H,1639.88,1489.48
1764,1999-09-28,Real Madrid,Porto,3.0,1.0,H,1650.16,1495.2
1765,1999-10-20,Porto,Real Madrid,2.0,1.0,H,1521.08,1624.28
1766,1999-10-26,Real Madrid,Olympiacos,3.0,0.0,H,1635.2,1493.4
1767,1999-11-03,Molde,Real Madrid,0.0,1.0,A,1474.84,1649.84
1768,1999-11-24,Dynamo Kyiv,Real Madrid,1.0,2.0,A,1406.92,1660.2
1769,1999-12-07,Real Madrid,Rosenborg,3.0,1.0,H,1668.64,1472.76
1770,2000-02-29,Real Madrid,Bayern Munich,2.0,4.0,A,1647.76,1724.56
1771,2000-03-08,Bayern Munich,Real Madrid,4.0,1.0,H,1737.56,1634.76
1772,2000-03-14,Real Madrid,Dynamo Kyiv,2.0,2.0,D,1621.48,1420.2
1773,2000-03-22,Rosenborg,Real Madrid,0.0,1.0,A,1458.28,1635.96
1776,2000-05-03,Real Madrid,Bayern Munich,2.0,0.0,H,1658.92,1714.6
1777,2000-05-09,Bayern Munich,Real Madrid,2.0,1.0,H,1728.68,1644.84
1780,1998-09-30,Barcelona,Brøndby,2.0,0.0,H,1717.48,1469.76
1781,1998-10-21,Bayern Munich,Barcelona,1.0,0.0,H,1745.2,1700.96
1782,1998-11-04,Barcelona,Bayern Munich,1.0,2.0,A,1680.64,1765.52
1784,1998-12-09,Brøndby,Barcelona,0.0,2.0,A,1458.4,1692.0
1785,1998-09-16,Real Madrid,Internazionale,2.0,0.0,H,1655.88,1515.96
1786,1998-09-30,Spartak Moscow,Real Madrid,2.0,1.0,H,1498.36,1628.48
1787,1998-10-21,Real Madrid,Sturm Graz,6.0,1.0,H,1636.96,1442.08
1788,1998-11-05,Sturm Graz,Real Madrid,1.0,5.0,A,1429.96,1649.08
1789,1998-11-25,Internazionale,Real Madrid,3.0,1.0,H,1540.64,1624.4
1790,1998-12-09,Real Madrid,Spartak Moscow,2.0,1.0,H,1635.04,1487.72
1791,1999-03-03,Real Madrid,Dynamo Kyiv,1.0,1.0,D,1622.2,1433.04
1792,1999-03-17,Dynamo Kyiv,Real Madrid,2.0,0.0,H,1460.64,1594.6
1793,1997-08-13,Barcelona,Skonto FC,3.0,2.0,H,1699.84,1489.32
